dominio_id,ambito_id,concetto_id,desc_id
d_2,a_26,c_584,d_2-a_26-c_584
d_6,a_9,c_265,d_6-a_9-c_265
d_6,a_35,c_244,d_6-a_35-c_244
d_7,a_10,c_93,d_7-a_10-c_93
d_6,a_33,c_637,d_6-a_33-c_637
d_7,a_10,c_125,d_7-a_10-c_125
d_7,a_10,c_126,d_7-a_10-c_126
d_7,a_10,c_168,d_7-a_10-c_168
d_2,a_2,c_180,d_2-a_2-c_180
d_1,a_1,c_180,d_1-a_1-c_180
d_2,a_2,c_2,d_2-a_2-c_2
d_2,a_2,c_502,d_2-a_2-c_502
d_2,a_2,c_184,d_2-a_2-c_184
d_2,a_2,c_182,d_2-a_2-c_182
d_2,a_2,c_181,d_2-a_2-c_181
d_10,a_20,c_83,d_10-a_20-c_83
d_6,a_33,c_611,d_6-a_33-c_611
d_6,a_33,c_214,d_6-a_33-c_214
d_7,a_10,c_90,d_7-a_10-c_90
d_4,a_4,c_351,d_4-a_4-c_351
d_4,a_4,c_315,d_4-a_4-c_315
d_4,a_4,c_370,d_4-a_4-c_370
d_4,a_4,c_88,d_4-a_4-c_88
d_2,a_2,c_183,d_2-a_2-c_183
d_8,a_31,c_497,d_8-a_31-c_497
d_8,a_31,c_496,d_8-a_31-c_496
d_8,a_11,c_385,d_8-a_11-c_385
d_8,a_11,c_27,d_8-a_11-c_27
d_12,a_29,c_131,d_12-a_29-c_131
d_6,a_33,c_612,d_6-a_33-c_612
d_10,a_20,c_73,d_10-a_20-c_73
d_2,a_38,c_328,d_2-a_38-c_328
d_7,a_10,c_425,d_7-a_10-c_425
d_8,a_23,c_339,d_8-a_23-c_339
d_10,a_20,c_71,d_10-a_20-c_71
d_8,a_31,c_498,d_8-a_31-c_498
d_1,a_1,c_257,d_1-a_1-c_257
d_8,a_31,c_600,d_8-a_31-c_600
d_8,a_31,c_499,d_8-a_31-c_499
d_11,a_22,c_523,d_11-a_22-c_523
d_5,a_14,c_47,d_5-a_14-c_47
d_6,a_9,c_262,d_6-a_9-c_262
d_6,a_9,c_412,d_6-a_9-c_412
d_10,a_19,c_577,d_10-a_19-c_577
d_3,a_3,c_478,d_3-a_3-c_478
d_3,a_24,c_449,d_3-a_24-c_449
d_12,a_28,c_128,d_12-a_28-c_128
d_2,a_21,c_84,d_2-a_21-c_84
d_12,a_28,c_472,d_12-a_28-c_472
d_8,a_23,c_567,d_8-a_23-c_567
d_8,a_23,c_334,d_8-a_23-c_334
d_4,a_4,c_164,d_4-a_4-c_164
d_11,a_39,c_406,d_11-a_39-c_406
d_10,a_36,c_292,d_10-a_36-c_292
d_6,a_17,c_575,d_6-a_17-c_575
d_1,a_7,c_57,d_1-a_7-c_57
d_1,a_8,c_57,d_1-a_8-c_57
d_6,a_16,c_57,d_6-a_16-c_57
d_11,a_30,c_596,d_11-a_30-c_596
d_11,a_30,c_597,d_11-a_30-c_597
d_6,a_32,c_251,d_6-a_32-c_251
d_1,a_1,c_440,d_1-a_1-c_440
d_6,a_16,c_638,d_6-a_16-c_638
d_6,a_16,c_127,d_6-a_16-c_127
d_6,a_16,c_639,d_6-a_16-c_639
d_6,a_16,c_640,d_6-a_16-c_640
d_6,a_33,c_613,d_6-a_33-c_613
d_10,a_15,c_201,d_10-a_15-c_201
d_2,a_38,c_636,d_2-a_38-c_636
d_4,a_4,c_353,d_4-a_4-c_353
d_10,a_20,c_354,d_10-a_20-c_354
d_10,a_36,c_354,d_10-a_36-c_354
d_10,a_19,c_354,d_10-a_19-c_354
d_10,a_15,c_506,d_10-a_15-c_506
d_10,a_15,c_505,d_10-a_15-c_505
d_9,a_12,c_293,d_9-a_12-c_293
d_4,a_4,c_316,d_4-a_4-c_316
d_10,a_37,c_288,d_10-a_37-c_288
d_1,a_1,c_7,d_1-a_1-c_7
d_1,a_7,c_7,d_1-a_7-c_7
d_3,a_3,c_599,d_3-a_3-c_599
d_3,a_24,c_104,d_3-a_24-c_104
d_1,a_7,c_109,d_1-a_7-c_109
d_1,a_1,c_109,d_1-a_1-c_109
d_9,a_12,c_62,d_9-a_12-c_62
d_3,a_13,c_37,d_3-a_13-c_37
d_3,a_3,c_37,d_3-a_3-c_37
d_6,a_33,c_213,d_6-a_33-c_213
d_6,a_33,c_209,d_6-a_33-c_209
d_4,a_4,c_350,d_4-a_4-c_350
d_6,a_33,c_218,d_6-a_33-c_218
d_10,a_15,c_507,d_10-a_15-c_507
d_8,a_23,c_87,d_8-a_23-c_87
d_3,a_24,c_452,d_3-a_24-c_452
d_3,a_24,c_454,d_3-a_24-c_454
d_8,a_31,c_162,d_8-a_31-c_162
d_8,a_31,c_161,d_8-a_31-c_161
d_3,a_3,c_10,d_3-a_3-c_10
d_10,a_19,c_278,d_10-a_19-c_278
d_3,a_24,c_108,d_3-a_24-c_108
d_1,a_1,c_297,d_1-a_1-c_297
d_9,a_12,c_31,d_9-a_12-c_31
d_8,a_31,c_163,d_8-a_31-c_163
d_4,a_4,c_360,d_4-a_4-c_360
d_2,a_21,c_641,d_2-a_21-c_641
d_2,a_34,c_642,d_2-a_34-c_642
d_6,a_9,c_248,d_6-a_9-c_248
d_4,a_4,c_248,d_4-a_4-c_248
d_6,a_9,c_21,d_6-a_9-c_21
d_12,a_29,c_631,d_12-a_29-c_631
d_9,a_12,c_98,d_9-a_12-c_98
d_12,a_27,c_313,d_12-a_27-c_313
d_12,a_29,c_324,d_12-a_29-c_324
d_4,a_4,c_391,d_4-a_4-c_391
d_1,a_7,c_358,d_1-a_7-c_358
d_10,a_15,c_198,d_10-a_15-c_198
d_9,a_12,c_445,d_9-a_12-c_445
d_6,a_9,c_416,d_6-a_9-c_416
d_6,a_9,c_415,d_6-a_9-c_415
d_6,a_17,c_588,d_6-a_17-c_588
d_6,a_17,c_139,d_6-a_17-c_139
d_7,a_10,c_167,d_7-a_10-c_167
d_11,a_18,c_625,d_11-a_18-c_625
d_11,a_18,c_626,d_11-a_18-c_626
d_3,a_24,c_105,d_3-a_24-c_105
d_3,a_24,c_103,d_3-a_24-c_103
d_11,a_39,c_398,d_11-a_39-c_398
d_7,a_10,c_42,d_7-a_10-c_42
d_2,a_34,c_617,d_2-a_34-c_617
d_2,a_26,c_118,d_2-a_26-c_118
d_12,a_29,c_628,d_12-a_29-c_628
d_12,a_28,c_627,d_12-a_28-c_627
d_4,a_4,c_347,d_4-a_4-c_347
d_6,a_33,c_467,d_6-a_33-c_467
d_10,a_15,c_433,d_10-a_15-c_433
d_10,a_15,c_432,d_10-a_15-c_432
d_4,a_4,c_349,d_4-a_4-c_349
d_10,a_15,c_197,d_10-a_15-c_197
d_10,a_15,c_504,d_10-a_15-c_504
d_10,a_15,c_503,d_10-a_15-c_503
d_6,a_33,c_212,d_6-a_33-c_212
d_11,a_22,c_522,d_11-a_22-c_522
d_1,a_1,c_441,d_1-a_1-c_441
d_1,a_8,c_566,d_1-a_8-c_566
d_10,a_37,c_280,d_10-a_37-c_280
d_2,a_26,c_585,d_2-a_26-c_585
d_10,a_36,c_286,d_10-a_36-c_286
d_10,a_19,c_276,d_10-a_19-c_276
d_6,a_9,c_618,d_6-a_9-c_618
d_12,a_28,c_308,d_12-a_28-c_308
d_10,a_15,c_196,d_10-a_15-c_196
d_8,a_11,c_28,d_8-a_11-c_28
d_10,a_19,c_275,d_10-a_19-c_275
d_4,a_4,c_343,d_4-a_4-c_343
d_6,a_9,c_263,d_6-a_9-c_263
d_8,a_23,c_580,d_8-a_23-c_580
d_2,a_26,c_366,d_2-a_26-c_366
d_2,a_26,c_470,d_2-a_26-c_470
d_2,a_26,c_469,d_2-a_26-c_469
d_2,a_38,c_325,d_2-a_38-c_325
d_2,a_38,c_326,d_2-a_38-c_326
d_2,a_34,c_232,d_2-a_34-c_232
d_3,a_3,c_153,d_3-a_3-c_153
d_1,a_7,c_330,d_1-a_7-c_330
d_1,a_1,c_330,d_1-a_1-c_330
d_3,a_13,c_166,d_3-a_13-c_166
d_1,a_7,c_6,d_1-a_7-c_6
d_1,a_1,c_6,d_1-a_1-c_6
d_1,a_7,c_341,d_1-a_7-c_341
d_1,a_1,c_341,d_1-a_1-c_341
d_1,a_1,c_404,d_1-a_1-c_404
d_1,a_8,c_404,d_1-a_8-c_404
d_10,a_19,c_281,d_10-a_19-c_281
d_6,a_17,c_135,d_6-a_17-c_135
d_6,a_33,c_615,d_6-a_33-c_615
d_3,a_13,c_204,d_3-a_13-c_204
d_1,a_1,c_89,d_1-a_1-c_89
d_1,a_8,c_89,d_1-a_8-c_89
d_4,a_4,c_89,d_4-a_4-c_89
d_11,a_22,c_220,d_11-a_22-c_220
d_6,a_35,c_236,d_6-a_35-c_236
d_10,a_36,c_290,d_10-a_36-c_290
d_2,a_34,c_234,d_2-a_34-c_234
d_2,a_26,c_120,d_2-a_26-c_120
d_5,a_14,c_572,d_5-a_14-c_572
d_10,a_20,c_70,d_10-a_20-c_70
d_10,a_20,c_356,d_10-a_20-c_356
d_8,a_23,c_333,d_8-a_23-c_333
d_10,a_15,c_200,d_10-a_15-c_200
d_6,a_33,c_382,d_6-a_33-c_382
d_5,a_14,c_46,d_5-a_14-c_46
d_2,a_2,c_606,d_2-a_2-c_606
d_9,a_12,c_34,d_9-a_12-c_34
d_5,a_5,c_540,d_5-a_5-c_540
d_5,a_5,c_537,d_5-a_5-c_537
d_5,a_5,c_545,d_5-a_5-c_545
d_5,a_5,c_543,d_5-a_5-c_543
d_1,a_7,c_19,d_1-a_7-c_19
d_3,a_25,c_462,d_3-a_25-c_462
d_3,a_25,c_465,d_3-a_25-c_465
d_11,a_39,c_399,d_11-a_39-c_399
d_3,a_25,c_457,d_3-a_25-c_457
d_11,a_39,c_397,d_11-a_39-c_397
d_3,a_25,c_458,d_3-a_25-c_458
d_3,a_25,c_459,d_3-a_25-c_459
d_3,a_25,c_460,d_3-a_25-c_460
d_1,a_1,c_3,d_1-a_1-c_3
d_3,a_13,c_570,d_3-a_13-c_570
d_10,a_36,c_289,d_10-a_36-c_289
d_8,a_23,c_335,d_8-a_23-c_335
d_10,a_36,c_287,d_10-a_36-c_287
d_3,a_13,c_114,d_3-a_13-c_114
d_4,a_4,c_159,d_4-a_4-c_159
d_8,a_11,c_24,d_8-a_11-c_24
d_10,a_36,c_271,d_10-a_36-c_271
d_10,a_36,c_267,d_10-a_36-c_267
d_10,a_37,c_624,d_10-a_37-c_624
d_7,a_10,c_92,d_7-a_10-c_92
d_5,a_6,c_16,d_5-a_6-c_16
d_2,a_38,c_635,d_2-a_38-c_635
d_10,a_19,c_66,d_10-a_19-c_66
d_12,a_27,c_123,d_12-a_27-c_123
d_11,a_18,c_576,d_11-a_18-c_576
d_11,a_18,c_296,d_11-a_18-c_296
d_11,a_18,c_295,d_11-a_18-c_295
d_5,a_14,c_302,d_5-a_14-c_302
d_6,a_9,c_619,d_6-a_9-c_619
d_1,a_1,c_121,d_1-a_1-c_121
d_6,a_9,c_621,d_6-a_9-c_621
d_4,a_4,c_384,d_4-a_4-c_384
d_7,a_10,c_348,d_7-a_10-c_348
d_1,a_7,c_331,d_1-a_7-c_331
d_1,a_1,c_331,d_1-a_1-c_331
d_1,a_8,c_331,d_1-a_8-c_331
d_6,a_9,c_22,d_6-a_9-c_22
d_4,a_4,c_22,d_4-a_4-c_22
d_6,a_9,c_420,d_6-a_9-c_420
d_11,a_39,c_396,d_11-a_39-c_396
d_1,a_7,c_8,d_1-a_7-c_8
d_1,a_1,c_8,d_1-a_1-c_8
d_11,a_22,c_145,d_11-a_22-c_145
d_4,a_4,c_601,d_4-a_4-c_601
d_12,a_27,c_130,d_12-a_27-c_130
d_1,a_1,c_403,d_1-a_1-c_403
d_1,a_8,c_403,d_1-a_8-c_403
d_6,a_35,c_239,d_6-a_35-c_239
d_8,a_11,c_555,d_8-a_11-c_555
d_5,a_6,c_14,d_5-a_6-c_14
d_5,a_5,c_405,d_5-a_5-c_405
d_3,a_3,c_405,d_3-a_3-c_405
d_1,a_7,c_438,d_1-a_7-c_438
d_2,a_2,c_500,d_2-a_2-c_500
d_7,a_10,c_444,d_7-a_10-c_444
d_1,a_7,c_5,d_1-a_7-c_5
d_1,a_1,c_5,d_1-a_1-c_5
d_2,a_38,c_5,d_2-a_38-c_5
d_9,a_12,c_495,d_9-a_12-c_495
d_4,a_4,c_389,d_4-a_4-c_389
d_2,a_2,c_607,d_2-a_2-c_607
d_6,a_33,c_210,d_6-a_33-c_210
d_11,a_22,c_85,d_11-a_22-c_85
d_1,a_1,c_186,d_1-a_1-c_186
d_1,a_8,c_186,d_1-a_8-c_186
d_6,a_17,c_476,d_6-a_17-c_476
d_8,a_23,c_340,d_8-a_23-c_340
d_10,a_19,c_67,d_10-a_19-c_67
d_1,a_7,c_359,d_1-a_7-c_359
d_1,a_1,c_359,d_1-a_1-c_359
d_1,a_1,c_190,d_1-a_1-c_190
d_5,a_14,c_299,d_5-a_14-c_299
d_4,a_4,c_643,d_4-a_4-c_643
d_3,a_25,c_111,d_3-a_25-c_111
d_12,a_27,c_311,d_12-a_27-c_311
d_8,a_31,c_160,d_8-a_31-c_160
d_1,a_8,c_586,d_1-a_8-c_586
d_7,a_10,c_574,d_7-a_10-c_574
d_7,a_10,c_602,d_7-a_10-c_602
d_1,a_8,c_9,d_1-a_8-c_9
d_1,a_1,c_9,d_1-a_1-c_9
d_7,a_10,c_603,d_7-a_10-c_603
d_1,a_7,c_112,d_1-a_7-c_112
d_7,a_10,c_581,d_7-a_10-c_581
d_1,a_8,c_608,d_1-a_8-c_608
d_1,a_1,c_189,d_1-a_1-c_189
d_11,a_30,c_592,d_11-a_30-c_592
d_3,a_13,c_35,d_3-a_13-c_35
d_9,a_12,c_563,d_9-a_12-c_563
d_11,a_39,c_395,d_11-a_39-c_395
d_3,a_25,c_401,d_3-a_25-c_401
d_1,a_7,c_4,d_1-a_7-c_4
d_1,a_1,c_4,d_1-a_1-c_4
d_5,a_5,c_548,d_5-a_5-c_548
d_5,a_5,c_546,d_5-a_5-c_546
d_2,a_38,c_327,d_2-a_38-c_327
d_11,a_39,c_393,d_11-a_39-c_393
d_5,a_5,c_536,d_5-a_5-c_536
d_12,a_29,c_323,d_12-a_29-c_323
d_3,a_25,c_461,d_3-a_25-c_461
d_3,a_25,c_463,d_3-a_25-c_463
d_3,a_25,c_464,d_3-a_25-c_464
d_11,a_39,c_392,d_11-a_39-c_392
d_3,a_25,c_466,d_3-a_25-c_466
d_3,a_25,c_455,d_3-a_25-c_455
d_3,a_25,c_456,d_3-a_25-c_456
d_5,a_5,c_538,d_5-a_5-c_538
d_2,a_34,c_233,d_2-a_34-c_233
d_4,a_4,c_352,d_4-a_4-c_352
d_3,a_24,c_106,d_3-a_24-c_106
d_4,a_4,c_318,d_4-a_4-c_318
d_4,a_4,c_565,d_4-a_4-c_565
d_4,a_4,c_317,d_4-a_4-c_317
d_12,a_29,c_634,d_12-a_29-c_634
d_6,a_35,c_550,d_6-a_35-c_550
d_4,a_4,c_54,d_4-a_4-c_54
d_4,a_4,c_427,d_4-a_4-c_427
d_4,a_4,c_426,d_4-a_4-c_426
d_10,a_15,c_192,d_10-a_15-c_192
d_6,a_17,c_133,d_6-a_17-c_133
d_1,a_7,c_1,d_1-a_7-c_1
d_1,a_1,c_1,d_1-a_1-c_1
d_11,a_39,c_394,d_11-a_39-c_394
d_10,a_15,c_610,d_10-a_15-c_610
d_11,a_18,c_435,d_11-a_18-c_435
d_6,a_9,c_419,d_6-a_9-c_419
d_6,a_9,c_259,d_6-a_9-c_259
d_6,a_35,c_259,d_6-a_35-c_259
d_4,a_4,c_304,d_4-a_4-c_304
d_6,a_16,c_304,d_6-a_16-c_304
d_11,a_22,c_144,d_11-a_22-c_144
d_6,a_17,c_136,d_6-a_17-c_136
d_11,a_22,c_143,d_11-a_22-c_143
d_6,a_35,c_238,d_6-a_35-c_238
d_4,a_4,c_371,d_4-a_4-c_371
d_11,a_30,c_151,d_11-a_30-c_151
d_6,a_17,c_137,d_6-a_17-c_137
d_1,a_7,c_437,d_1-a_7-c_437
d_12,a_29,c_312,d_12-a_29-c_312
d_6,a_33,c_217,d_6-a_33-c_217
d_11,a_22,c_589,d_11-a_22-c_589
d_12,a_29,c_305,d_12-a_29-c_305
d_8,a_23,c_332,d_8-a_23-c_332
d_7,a_10,c_44,d_7-a_10-c_44
d_7,a_10,c_43,d_7-a_10-c_43
d_1,a_1,c_188,d_1-a_1-c_188
d_1,a_8,c_188,d_1-a_8-c_188
d_4,a_4,c_188,d_4-a_4-c_188
d_2,a_2,c_178,d_2-a_2-c_178
